Cut_x,Cut_y,loss,Height,Permitivity,Freq
6,0.2,-24.70322375,1.6,2.2,0.915
8,0.2,-31.04869956,1.6,2.2,0.915
8.5,0.2,-33.51296931,1.6,2.2,0.915
17.5,0.2,-23.51143654,1.6,2.2,0.915
21,0.2,-25.27527406,1.6,2.2,0.915
21.5,0.2,-20.07334407,1.6,2.2,0.915
22.5,0.2,-21.12455782,1.6,2.2,0.915
23.5,0.2,-23.49168531,1.6,2.2,0.915
26,0.2,-22.47326272,1.6,2.2,0.915
33,0.2,-20.27033276,1.6,2.2,0.915
8,0.4,-25.78491342,1.6,2.2,0.915
9,0.4,-20.86298388,1.6,2.2,0.915
10,0.4,-23.04892478,1.6,2.2,0.915
13,0.4,-22.65141247,1.6,2.2,0.915
26.5,0.4,-30.12217609,1.6,2.2,0.915
33,0.4,-24.57981222,1.6,2.2,0.915
3,0.6,-27.05980289,1.6,2.2,0.915
3.5,0.6,-20.60979783,1.6,2.2,0.915
8.5,0.6,-26.10534839,1.6,2.2,0.915
27.5,0.6,-22.82536701,1.6,2.2,0.915
31,0.6,-26.58351623,1.6,2.2,0.915
4,0.8,-20.82932766,1.6,2.2,0.915
12,0.8,-20.83261353,1.6,2.2,0.915
17,0.8,-21.90989382,1.6,2.2,0.915
20,1,-24.90296178,1.6,2.2,0.915
26,1,-26.57113556,1.6,2.2,0.915
0.4,0.2,-25.15192926,1.6,2.2,2.45
0.6,0.2,-25.65610296,1.6,2.2,2.45
0.8,0.2,-25.32514802,1.6,2.2,2.45
1,0.2,-25.15909413,1.6,2.2,2.45
1.2,0.2,-24.83513258,1.6,2.2,2.45
1.4,0.2,-25.53141602,1.6,2.2,2.45
1.6,0.2,-25.28470093,1.6,2.2,2.45
1.8,0.2,-24.39402259,1.6,2.2,2.45
2,0.2,-26.01700593,1.6,2.2,2.45
2.2,0.2,-25.42611144,1.6,2.2,2.45
2.4,0.2,-26.22768411,1.6,2.2,2.45
2.6,0.2,-27.23562897,1.6,2.2,2.45
2.8,0.2,-26.67923357,1.6,2.2,2.45
3,0.2,-25.83670968,1.6,2.2,2.45
3.2,0.2,-27.78269913,1.6,2.2,2.45
3.4,0.2,-26.75351834,1.6,2.2,2.45
3.6,0.2,-26.61516926,1.6,2.2,2.45
3.8,0.2,-27.33020218,1.6,2.2,2.45
4,0.2,-27.49357724,1.6,2.2,2.45
4.2,0.2,-29.90628924,1.6,2.2,2.45
4.4,0.2,-27.22646276,1.6,2.2,2.45
4.6,0.2,-27.95500829,1.6,2.2,2.45
4.8,0.2,-27.52577782,1.6,2.2,2.45
5,0.2,-28.78569755,1.6,2.2,2.45
5.6,0.2,-29.7746315,1.6,2.2,2.45
5.8,0.2,-32.27576527,1.6,2.2,2.45
6,0.2,-31.39862242,1.6,2.2,2.45
6.4,0.2,-35.04379526,1.6,2.2,2.45
6.6,0.2,-32.45326276,1.6,2.2,2.45
6.8,0.2,-30.48591731,1.6,2.2,2.45
7,0.2,-32.0461982,1.6,2.2,2.45
7.2,0.2,-33.06912792,1.6,2.2,2.45
7.8,0.2,-24.77495548,1.6,2.2,2.45
8,0.2,-33.593769,1.6,2.2,2.45
8.4,0.2,-34.82564665,1.6,2.2,2.45
8.6,0.2,-38.75824486,1.6,2.2,2.45
8.8,0.2,-33.43293579,1.6,2.2,2.45
9,0.2,-37.56080055,1.6,2.2,2.45
9.2,0.2,-33.56413165,1.6,2.2,2.45
9.4,0.2,-31.7482543,1.6,2.2,2.45
9.6,0.2,-28.86649602,1.6,2.2,2.45
9.8,0.2,-28.66097598,1.6,2.2,2.45
10,0.2,-28.04797809,1.6,2.2,2.45
10.2,0.2,-27.99226776,1.6,2.2,2.45
10.4,0.2,-27.5158803,1.6,2.2,2.45
10.6,0.2,-29.52702537,1.6,2.2,2.45
10.8,0.2,-24.26144805,1.6,2.2,2.45
11,0.2,-24.34408568,1.6,2.2,2.45
